Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Loss per 1000 Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),cluster_id,risk_profile
Australia,2015,Phishing,Telecommunications,73.77,639279,0.115396,Nation-state,Zero-day,VPN,44,3,Critical High-Impact Incidents
Australia,2015,Phishing,Telecommunications,89.41,488342,0.183089,Hacker Group,Unpatched Software,Firewall,23,1,Concentrated High-Loss Incidents
Australia,2015,Malware,Healthcare,42.15,680874,0.061906,Unknown,Zero-day,Antivirus,8,0,Widespread Lower-Loss Incidents
Australia,2015,SQL Injection,Retail,89.77,804658,0.111563,Nation-state,Unpatched Software,AI-based Detection,23,3,Critical High-Impact Incidents
Australia,2015,Phishing,Banking,99.2,666877,0.148753,Nation-state,Weak Passwords,Antivirus,28,3,Critical High-Impact Incidents
Australia,2015,Phishing,Healthcare,76.4,108767,0.702419,Nation-state,Unpatched Software,VPN,48,1,Concentrated High-Loss Incidents
Australia,2015,DDoS,Healthcare,4.49,713160,0.006296,Hacker Group,Unpatched Software,Encryption,26,0,Widespread Lower-Loss Incidents
Australia,2015,Man-in-the-Middle,Healthcare,1.62,336650,0.004812,Hacker Group,Zero-day,VPN,35,2,Lower-Impact Incidents
Australia,2015,Man-in-the-Middle,Education,20.96,248083,0.084488,Hacker Group,Social Engineering,Encryption,70,2,Lower-Impact Incidents
Australia,2015,DDoS,Telecommunications,14.55,470471,0.030926,Nation-state,Unpatched Software,VPN,53,2,Lower-Impact Incidents
Australia,2015,DDoS,Education,51.54,297721,0.173115,Nation-state,Weak Passwords,Antivirus,29,1,Concentrated High-Loss Incidents
Australia,2015,DDoS,Government,13.96,479025,0.029143,Nation-state,Zero-day,Antivirus,54,2,Lower-Impact Incidents
Australia,2015,DDoS,Government,11.89,731839,0.016247,Unknown,Zero-day,AI-based Detection,14,0,Widespread Lower-Loss Incidents
Australia,2015,Ransomware,Telecommunications,17.38,75314,0.230767,Unknown,Unpatched Software,Encryption,6,2,Lower-Impact Incidents
Australia,2015,Phishing,Government,60.68,389782,0.155677,Insider,Social Engineering,Firewall,45,1,Concentrated High-Loss Incidents
Australia,2015,DDoS,Government,82.7,904805,0.091401,Hacker Group,Zero-day,Encryption,61,3,Critical High-Impact Incidents
Australia,2015,SQL Injection,Retail,55.78,852650,0.06542,Nation-state,Social Engineering,AI-based Detection,50,3,Critical High-Impact Incidents
Australia,2015,Ransomware,Telecommunications,46.39,605536,0.07661,Nation-state,Unpatched Software,VPN,61,0,Widespread Lower-Loss Incidents
Australia,2015,Malware,Retail,99.41,120048,0.828085,Insider,Zero-day,Antivirus,12,1,Concentrated High-Loss Incidents
